scene_token,candidate_i,candidate_j,track_token,candidate_dependent_endpoint_variance_m,candidate_dependent_speed_difference_mps
01ee2001eff25729,0,2,08adc90b06985d9e,0.0,0.0
01ee2001eff25729,0,2,0b808b79a8a95c77,0.0,0.0
01ee2001eff25729,0,2,0f09d1cf62435138,0.0,0.0
01ee2001eff25729,0,2,18d18357352b5d0f,0.0,0.0
01ee2001eff25729,0,2,1c604d2384c45d37,0.0,0.0
01ee2001eff25729,0,2,1ffb6af3a27d5870,0.0,0.0
01ee2001eff25729,0,2,38702803b6435d7f,0.0,0.0
01ee2001eff25729,0,2,3e3331ee4b205209,0.0,0.0
01ee2001eff25729,0,2,4696c42f7a825f97,0.0,0.0
01ee2001eff25729,0,2,4f41b6db0a22575d,0.0,0.0
01ee2001eff25729,0,2,5ca467a009ef5c4d,0.0,0.0
01ee2001eff25729,0,2,5d59fbaf790d58b6,0.0,0.0
01ee2001eff25729,0,2,620070dc11fc5ddf,0.0,0.0
01ee2001eff25729,0,2,6b351f2e52b45816,0.0,0.0
01ee2001eff25729,0,2,71ca73c226c450aa,0.0,0.0
01ee2001eff25729,0,2,8c8a4e86ae905080,0.0,0.0
01ee2001eff25729,0,2,900b38853cf75a8a,0.0,0.0
01ee2001eff25729,0,2,a230389edb5953a4,0.0,0.0
01ee2001eff25729,0,2,a6cdeb11f49e5380,0.0,0.0
01ee2001eff25729,0,2,a91469bad2d5562d,0.0,0.0
01ee2001eff25729,0,2,aab4acb8da815389,0.0,0.0
01ee2001eff25729,0,2,b2fc345429815b54,0.0,0.0
01ee2001eff25729,0,2,b73e6915cab45584,0.0,0.0
01ee2001eff25729,0,2,bc781a0f86255568,0.0,0.0
01ee2001eff25729,0,2,bdf2b290952a56b7,0.0,0.0
01ee2001eff25729,0,2,e2b968114fc259e9,0.0,0.0
01ee2001eff25729,0,2,f022868264c2579c,0.0,0.0
01ee2001eff25729,0,2,f2ec45f6bbb45c9c,0.0,0.0
01ee2001eff25729,0,2,f65004a7ffaa5963,0.0,0.0
01ee2001eff25729,0,2,f77b52145c1d5cfa,0.0,0.0
01ef6b2ef15351ef,0,4,724ad1380ef15beb,0.0,0.0
01ef6b2ef15351ef,0,4,77ff6f0afdeb5b8f,0.0,0.0
01ef6b2ef15351ef,0,4,e3fc46ddc7955043,0.0,0.0
02502e56fdf95e9b,0,1,01a0267169455046,0.0,0.0
02502e56fdf95e9b,0,1,025199a8fa6a5e62,0.0,0.0
02502e56fdf95e9b,0,1,1173de0b73fe55d4,0.0,0.0
