metric,mean_qformer_actor_ranker_epoch7,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.8972078224208876,0.9095938788102468,-0.012386056389359358,-0.016434011406010838,-0.008345568234900397,4892,5337,1917
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.08690390759048246,0.07451785120098786,0.012386056389494597,0.008338452422468638,0.016423283478701346,1989,5184,4973
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9751770130083979,0.9822163675284045,-0.007039354520006587,-0.009186173902953433,-0.004964012968569781,21,12018,107
selected_drivable_area_compliance,0.9652560513749383,0.9725835666062901,-0.007327515231351885,-0.010852613096908624,-0.003998590132755094,63,11931,152
selected_ego_progress,0.8886262879998847,0.8847152447198833,0.003911043280001416,-0.00020704039798190443,0.008001247221578366,4923,5790,1433
selected_time_to_collision_within_bound,0.9199736538778198,0.9420385312036884,-0.0220648773258686,-0.02675767520858827,-0.01767516493040592,78,11722,346
selected_comfort,1.0,0.9998353367363741,0.00016466326362588507,0.0,0.00042452119323386524,2,12144,0
selected_driving_direction_compliance,0.9687963115428948,0.9728717273176354,-0.004075415774740655,-0.006231154214072891,-0.0021943989723454196,63,11927,156
