metric,mean_qformer_noactor_ranker,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.9017972789587602,0.9095938788102468,-0.007796599851486808,-0.010752483669308326,-0.004804645366394045,4223,5381,2542
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.08231445105262637,0.07451785120098786,0.007796599851638514,0.004814021868259124,0.010695238460419849,2614,5230,4302
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9780586201218509,0.9822163675284045,-0.004157747406553598,-0.005833560563136643,-0.0024278350345479844,22,12050,74
selected_drivable_area_compliance,0.9666556891157583,0.9725835666062901,-0.005927877490531862,-0.008691344068220516,-0.003295401898182434,52,11970,124
selected_ego_progress,0.8861207543492754,0.8847152447198833,0.001405509629392161,-0.0013645762609847806,0.0042908232476789945,4235,5784,2127
selected_time_to_collision_within_bound,0.9308414292771283,0.9420385312036884,-0.011197101926560184,-0.014836072168981532,-0.007692289871188956,87,11836,223
selected_comfort,0.9999176683681871,0.9998353367363741,8.233163181294254e-05,-0.00017833338548550365,0.0003707684508892247,2,12143,1
selected_driving_direction_compliance,0.9702371150996213,0.9728717273176354,-0.002634612218014161,-0.004246634067879605,-0.0010583117685602776,65,11949,132
