token,log_name_sft,score_sft,log_name_rl,score_rl,delta
0034182453455593,2021.07.09.15.53.28_veh-38_00184_02293,0.916162568850993,2021.07.09.15.53.28_veh-38_00184_02293,0.9147720872429601,-0.0013904816080329008
0063186407485185,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
00839bb43eed5f3e,2021.08.31.14.01.15_veh-40_01576_01714,0.9048100846613883,2021.08.31.14.01.15_veh-40_01576_01714,0.903057728048418,-0.0017523566129703516
0090af8e15415a95,2021.06.09.12.06.35_veh-35_01164_01494,0.9203684292173264,2021.06.09.12.06.35_veh-35_01164_01494,0.9189146867316724,-0.001453742485653997
00b3f7e6cbfc5fa0,2021.10.11.02.57.41_veh-50_02155_02265,0.8985511247973695,2021.10.11.02.57.41_veh-50_02155_02265,0.8970032246836691,-0.001547900113700429
00bf064b40495a06,2021.07.09.15.53.28_veh-38_00184_02293,0.940313606058171,2021.07.09.15.53.28_veh-38_00184_02293,0.9389188026629984,-0.0013948033951726169
00e32fcdcf455ae8,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
015173513fc25684,2021.10.05.08.11.15_veh-50_00437_00585,0.9195271244677731,2021.10.05.08.11.15_veh-50_00437_00585,0.9177540186054239,-0.0017731058623491336
016139f70ba255f4,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
017221a69d845d5f,2021.06.23.17.31.36_veh-16_00016_00377,0.9661296114577601,2021.06.23.17.31.36_veh-16_00016_00377,0.9655775645953096,-0.0005520468624504726
017f6ea65a675bd0,2021.07.09.15.53.28_veh-38_00184_02293,0.9804892133387693,2021.07.09.15.53.28_veh-38_00184_02293,0.979448967973671,-0.0010402453650982801
0191e3cbe7735d02,2021.10.11.02.57.41_veh-50_01028_01289,0.8887213348992833,2021.10.11.02.57.41_veh-50_01028_01289,0.8869474607010859,-0.0017738741981974115
0192df9f896c5030,2021.07.09.20.26.06_veh-35_02793_03289,1.0,2021.07.09.20.26.06_veh-35_02793_03289,1.0,0.0
019be72ca2035269,2021.07.09.15.53.28_veh-38_00184_02293,0.9469229642147755,2021.07.09.15.53.28_veh-38_00184_02293,0.9452685290919792,-0.0016544351227962828
01d99dddfff055b4,2021.06.09.12.06.35_veh-35_01164_01494,1.0,2021.06.09.12.06.35_veh-35_01164_01494,1.0,0.0
01f29c09064f597d,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
02036a881c8757cd,2021.06.09.12.06.35_veh-35_01164_01494,0.939445017930066,2021.06.09.12.06.35_veh-35_01164_01494,0.9379156868762039,-0.001529331053862104
02199704c082520f,2021.06.09.12.51.31_veh-35_01729_02626,1.0,2021.06.09.12.51.31_veh-35_01729_02626,1.0,0.0
02271efb56ca5e62,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
0228fd10f8c05bd4,2021.06.09.12.51.31_veh-35_01729_02626,0.9163467558575055,2021.06.09.12.51.31_veh-35_01729_02626,0.9147762439065117,-0.0015705119509937804
0242cf7ebae4537a,2021.07.09.15.53.28_veh-38_00184_02293,0.9782011204404341,2021.07.09.15.53.28_veh-38_00184_02293,0.9759211809055856,-0.0022799395348485074
0244b29e92175c74,2021.08.31.14.01.15_veh-40_01576_01714,0.8804211199013717,2021.08.31.14.01.15_veh-40_01576_01714,0.8792859048280487,-0.001135215073323037
025b6096a0af5d87,2021.06.09.12.51.31_veh-35_01729_02626,0.9980686162973126,2021.06.09.12.51.31_veh-35_01729_02626,0.996670448357536,-0.00139816793977654
0265d0c659745deb,2021.10.05.08.11.15_veh-50_00437_00585,0.9136201442438247,2021.10.05.08.11.15_veh-50_00437_00585,0.9116258357285293,-0.001994308515295362
