scene_token,candidate_index,NC,DAC,DDC,EP,TTC,Comfort,raw_progress,old_five_factor_score,new_six_factor_score,evaluator_score,old_error,new_error
0fcede1cbfb15faa,29,1.0,1.0,0.5,0.12871770560741425,1.0,1.0,0.8219144940376282,0.6369657106697559,0.31848285533487797,0.3184828460216522,0.3184828646481037,9.313225746154785e-09
0fcede1cbfb15faa,79,1.0,1.0,0.5,0.390406996011734,1.0,1.0,2.492906332015991,0.7460029150048891,0.37300145750244457,0.37300145626068115,0.373001458744208,1.241763414316921e-09
0fcede1cbfb15faa,81,1.0,1.0,0.5,0.10653922706842422,1.0,1.0,0.680296003818512,0.6277246779451767,0.31386233897258836,0.3138623535633087,0.313862324381868,1.4590720354146214e-08
0fcede1cbfb15faa,87,1.0,1.0,0.5,0.37775203585624695,1.0,1.0,2.4120993614196777,0.7407300149401029,0.37036500747005147,0.3703650236129761,0.37036499132712686,1.6142924608164577e-08
0fcede1cbfb15faa,102,1.0,1.0,0.5,0.08768623322248459,1.0,1.0,0.5599120259284973,0.6198692638427019,0.30993463192135096,0.3099346458911896,0.30993461795151234,1.3969838619232178e-08
0fcede1cbfb15faa,104,1.0,1.0,0.5,0.19136764109134674,1.0,1.0,1.2219597101211548,0.6630698504547278,0.3315349252273639,0.3315349221229553,0.33153492833177245,3.104408563547878e-09
0fcede1cbfb15faa,172,1.0,1.0,0.5,0.15826372802257538,1.0,1.0,1.0105777978897095,0.6492765533427397,0.32463827667136985,0.3246382772922516,0.3246382760504881,6.208817349140361e-10
0fcede1cbfb15faa,180,1.0,1.0,0.5,0.23561787605285645,1.0,1.0,1.504515290260315,0.6815074483553568,0.3407537241776784,0.3407537341117859,0.3407537142435709,9.934107481068821e-09
0fcede1cbfb15faa,204,1.0,1.0,0.5,0.2163015753030777,1.0,1.0,1.3811728954315186,0.6734589897096157,0.33672949485480785,0.336729496717453,0.3367294929921627,1.862645149230957e-09
0fcede1cbfb15faa,216,1.0,1.0,0.5,0.43803513050079346,1.0,1.0,2.7970311641693115,0.7658479710419973,0.38292398552099866,0.38292399048805237,0.38292398055394494,4.967053712778835e-09
