metric,mean_drivor_scaling134k_m0_64,mean_public_m0,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.9326141929241232,0.9095938788102468,0.023020314113876277,0.01857233436836741,0.027546529294449878,4084,4866,3196
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.0514975370870657,0.07451785120098786,-0.023020314113922163,-0.027588793509329333,-0.018556656152705357,3221,4803,4122
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9899967067347275,0.9822163675284045,0.00778033920632307,0.0045686974249495175,0.011254147732333814,138,11965,43
selected_drivable_area_compliance,0.9814753828420879,0.9725835666062901,0.008891816235797793,0.005672085330505002,0.012315459655623867,162,11930,54
selected_ego_progress,0.9032539217696938,0.8847152447198833,0.018538677049810406,0.012093448422207049,0.025259476439847123,3840,5119,3187
selected_time_to_collision_within_bound,0.964103408529557,0.9420385312036884,0.0220648773258686,0.016871665562672573,0.02746726788487413,401,11612,133
selected_comfort,0.9996706734727482,0.9998353367363741,-0.00016466326362588507,-0.0005028505340505088,0.00014942155189885545,1,12142,3
selected_driving_direction_compliance,0.9711839288654701,0.9728717273176354,-0.001687798452165322,-0.003947575760701976,0.0007350326374186964,135,11834,177
