name,artifact_sha256,score_mode,validation_selected_pdms,validation_delta,validation_ci_low,validation_ci_high,navtest_selected_pdms,navtest_base_pdms,navtest_delta,navtest_ci_low,navtest_ci_high,best_of_64_pdms,scorer_regret,selected_noc,selected_dac,selected_ddc,selected_ttc,selected_progress,selected_comfort,exceeds_0_93,navtest_result_dir,online_cache_parity_passed,online_cache_score_max_abs,online_cache_proposal_max_abs
combined_top4_hybrid_actor050_seed2__calibrated__residual_hybrid,9a2871d6be044229adc35798467f8e05dcc6e370f94aefc3da4d6d7f858a077e,residual_hybrid,0.935425877571106,0.0037103856448084116,0.0013178144342929602,0.006011226471622711,0.9108242392539978,0.9114933609962463,-0.0006692105089314282,-0.0022371004318966145,0.0006499253704230795,0.9831286668777466,0.07230452595798113,0.9858389496803284,0.9757121801376343,0.9752593636512756,0.9497777223587036,0.8739004731178284,1.0,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top4_hybrid_actor050_seed2__calibrated__residual_hybrid,True,2.384185791015625e-07,0.0
candidate_only_top8_hybrid_seed2__calibrated__residual_hybrid,eed4333213bbe703d2ebee4d717639cd4801cbed82f50befd157d77848ddeb57,residual_hybrid,0.936274528503418,0.00455910200253129,0.001578093330085289,0.007423560146814359,0.9104368686676025,0.9114933609962463,-0.001056564855389297,-0.0033567837819440676,0.0012723466129836688,0.9831286668777466,0.07269188030350929,0.9840276837348938,0.9754651784896851,0.9766178131103516,0.9457434415817261,0.8779217004776001,0.9999176859855652,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/candidate_only_top8_hybrid_seed2__calibrated__residual_hybrid,True,2.384185791015625e-07,0.0
combined_top4_hybrid_actor050_seed2__residual_hybrid,7e14616a36b087d55779056ec5b666a691c06e1d4ed1878a38371915a0de8519,residual_hybrid,0.9342435598373413,0.002930867951363325,0.001799831691170182,0.003945110898681139,0.9098867177963257,0.9114933609962463,-0.0016066721873357892,-0.003555827374571481,0.0001581936025111689,0.9831286668777466,0.07324198772758357,0.9852214455604553,0.9748888611793518,0.9747241735458374,0.9478840827941895,0.8746309280395508,1.0,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top4_hybrid_actor050_seed2__residual_hybrid,True,2.384185791015625e-07,0.0
combined_top8_hybrid_actor050_seed2__calibrated__residual_hybrid,6402ab300a54ffdf834532bb34df412f89437e04d999b2fe7cb726975736141b,residual_hybrid,0.934349775314331,0.002634282223880291,7.666181496082162e-05,0.005023869303037561,0.9095799326896667,0.9114933609962463,-0.0019134865142405033,-0.003792019238553893,-0.00013019783637283996,0.9831286668777466,0.07354880176183017,0.984604001045227,0.9745595455169678,0.9745595455169678,0.946731448173523,0.8758988976478577,0.9999176859855652,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top8_hybrid_actor050_seed2__calibrated__residual_hybrid,True,2.384185791015625e-07,0.0
candidate_only_top16_hybrid_seed2__calibrated__residual_hybrid,11c12edd01e2908a93168aa9e6f7d0dde2160cf3d6106bda19d792c2de30be01,residual_hybrid,0.9385249018669128,0.006809435319155455,0.004739970405157423,0.008730635877947365,0.9091365933418274,0.9114933609962463,-0.0023568053729832172,-0.004539716823616575,-7.285593704138781e-05,0.9831286668777466,0.07399212093556326,0.9838218092918396,0.9741478562355042,0.9729540348052979,0.9408035278320312,0.8816709518432617,0.9999176859855652,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/candidate_only_top16_hybrid_seed2__calibrated__residual_hybrid,True,2.384185791015625e-07,0.0
candidate_only_top8_hybrid_seed2__residual_hybrid,553e4499cf5fb33916928f13667fcd1cc80e3057026c3859bca0911039ff7257,residual_hybrid,0.9339178800582886,0.002605215646326542,0.0011298698095797382,0.004009789157271115,0.9090587496757507,0.9114933609962463,-0.0024346245918422937,-0.005697669251901214,0.0007439275617098308,0.9831286668777466,0.07406994010416036,0.9831219911575317,0.9738185405731201,0.9723777174949646,0.9421208500862122,0.8803521990776062,0.9998353123664856,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/candidate_only_top8_hybrid_seed2__residual_hybrid,True,2.384185791015625e-07,0.0
combined_top16_hybrid_actor050_seed11__calibrated__residual_hybrid,acd488cc74e2e31c79e65af9d0d913de182f8b2a2b830073f7a9cbfcae22d910,residual_hybrid,0.9344760179519653,0.002760558156296611,0.0005165059499447737,0.004969653514577793,0.9085615277290344,0.9114933609962463,-0.002931856084614992,-0.005011873120680547,-0.0009218687572285513,0.9831286668777466,0.07456717173675413,0.9840688109397888,0.9737362265586853,0.9739420413970947,0.9426971673965454,0.879006028175354,1.0,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top16_hybrid_actor050_seed11__calibrated__residual_hybrid,True,0.0,0.0
combined_top16_hybrid_actor050_seed2__calibrated__residual_hybrid,64a327488d504420c5b7753ece3bb1e4ea724dc9fc7f314d66957d2d56556d23,residual_hybrid,0.9349640607833862,0.003248559543862939,0.0006337737582493711,0.00545505893085522,0.9085490107536316,0.9114933609962463,-0.002944391220808029,-0.004603454756264647,-0.0012084969087757572,0.9831286668777466,0.07457970708772031,0.9844805002212524,0.9733245372772217,0.974230170249939,0.9436851739883423,0.8782333731651306,1.0,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top16_hybrid_actor050_seed2__calibrated__residual_hybrid,True,2.384185791015625e-07,0.0
candidate_only_top64_hybrid_seed2__calibrated__residual_hybrid,2c621d6b814714978e7fe8f110fd5fc07dadf6d11e9cd77372aefae15b3617fb,residual_hybrid,0.9363296031951904,0.004614152945578098,0.002451674309333094,0.006688225769700564,0.9083161950111389,0.9114933609962463,-0.003177205566316843,-0.0054787823506592176,-0.0010172700301923918,0.9831286668777466,0.07481252128562531,0.985962450504303,0.9743948578834534,0.9760003089904785,0.9438498020172119,0.8757660984992981,0.9998353123664856,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/candidate_only_top64_hybrid_seed2__calibrated__residual_hybrid,True,3.5762786865234375e-07,0.0
combined_top8_hybrid_actor050_seed2__residual_hybrid,7a87bb5ab18e65fe0a29e9e9bddec877a029c21d9916970b0e6bbd73481750e4,residual_hybrid,0.9334590435028076,0.002146362792700529,0.0007191833859184655,0.003628786534517828,0.9080212712287903,0.9114933609962463,-0.0034721686970442533,-0.00649764405484569,-0.0005342297732536928,0.9831286668777466,0.0751074843243016,0.9827926754951477,0.9730775356292725,0.972213089466095,0.9419562220573425,0.8793747425079346,0.9998353123664856,False,/root/scorer_pdms93_navtest/no_vqa_e35_scene_token_wave2_v1/combined_top8_hybrid_actor050_seed2__residual_hybrid,True,2.384185791015625e-07,0.0
