metric,mean_independent_coarse_top4,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.9036156298773835,0.9095938788102468,-0.005978248932863393,-0.008052513446182314,-0.003911965948578901,4910,5606,1630
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.08049610013415939,0.07451785120098786,0.005978248933171528,0.0038993422781931023,0.008032891652984658,1704,5440,5002
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9796640869422032,0.9822163675284045,-0.0025522805862012183,-0.0035605400617975715,-0.001625483474811477,4,12106,36
selected_drivable_area_compliance,0.9668203523793841,0.9725835666062901,-0.0057632142269059775,-0.008125784040772464,-0.003478642167101229,19,12038,89
selected_ego_progress,0.8895120737240819,0.8847152447198833,0.004796829004198682,0.0028935216943300683,0.006750694553775136,4920,6017,1209
selected_time_to_collision_within_bound,0.9308414292771283,0.9420385312036884,-0.011197101926560184,-0.01397985750544953,-0.008558905578154861,43,11924,179
selected_comfort,0.9997530051045612,0.9998353367363741,-8.233163181294254e-05,-0.00028111010386007445,0.0,0,12145,1
selected_driving_direction_compliance,0.9676436686975136,0.9728717273176354,-0.00522805862012185,-0.007297945464511526,-0.003387525580691655,19,11995,132
