metric,mean_independent_coarse_top8,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.8967686436473901,0.9095938788102468,-0.012825235162856803,-0.015661128022656377,-0.009959647953581148,5393,5510,1243
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.08734308636404578,0.07451785120098786,0.012825235163057912,0.009933174075990191,0.015649087078919915,1316,5344,5486
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9768648114605631,0.9822163675284045,-0.005351556067841264,-0.006784714794209076,-0.003972853434915323,7,12065,74
selected_drivable_area_compliance,0.9619627861024206,0.9725835666062901,-0.010620780503869586,-0.014207919757750634,-0.00713105225687744,27,11963,156
selected_ego_progress,0.8893929559935946,0.8847152447198833,0.004677711273711278,0.0020504628984241552,0.007428825973421421,5469,5961,716
selected_time_to_collision_within_bound,0.9218672814095176,0.9420385312036884,-0.02017124979417092,-0.02342928344974925,-0.016921893869185543,47,11807,292
selected_comfort,0.9998353367363741,0.9998353367363741,0.0,-0.00024507851706976393,0.0002353148816073457,1,12144,1
selected_driving_direction_compliance,0.9646797299522476,0.9728717273176354,-0.008191997365387782,-0.01107395197889388,-0.005515995226514243,28,11921,197
