metric,mean_qformer_actor_gate,mean_public_open_weight,paired_delta_a_minus_b,log_bootstrap_ci95_low,log_bootstrap_ci95_high,a_better_scene_count,tied_scene_count,b_better_scene_count
selected_pdms,0.8949546438148361,0.9095938788102468,-0.014639234995410732,-0.017771839710363783,-0.011806941604445328,4700,5500,1946
best_of_64_pdms,0.9841117300112959,0.9841117300112348,6.111995755000292e-14,-1.38036119426267e-13,2.609682420126154e-13,915,10381,850
scorer_regret,0.0891570861964515,0.07451785120098786,0.014639234995463641,0.011827112513281661,0.017806499238019552,2021,5331,4794
mean_candidate_pdms,0.7952755467421867,0.795275546742409,-2.2223802166522251e-13,-6.881941706893433e-13,2.742267689612139e-13,5325,1356,5465
median_candidate_pdms,0.8356761058128191,0.8356761058147789,-1.9599232575450563e-12,-2.493352080117017e-12,-1.4399301922614029e-12,3310,4836,4000
top5_oracle_mean_pdms,0.972880045751342,0.9728800457512842,5.782788485947571e-14,-1.8265091082852628e-13,3.1744993664079395e-13,1660,8854,1632
fraction_candidates_pdms_ge_0_9,0.6209220113617652,0.6209220113617652,0.0,0.0,0.0,0,12146,0
fraction_candidates_pdms_ge_0_8,0.78293136629343,0.78293136629343,0.0,0.0,0.0,0,12146,0
unique_candidate_count,64.0,64.0,0.0,0.0,0.0,0,12146,0
mean_pairwise_endpoint_distance_m,4.52926801714604,4.5292680171457445,2.953364358420922e-13,-2.1979906653542462e-13,8.002980532474257e-13,5960,246,5940
mean_pairwise_ade_m,1.8772938401514243,1.877293840151298,1.2636986979830332e-13,-3.9419201358016107e-13,6.244120286709914e-13,5951,227,5968
selected_no_at_fault_collisions,0.9753828420879301,0.9822163675284045,-0.00683352544047423,-0.008775230908487081,-0.005032752812190516,8,12044,94
selected_drivable_area_compliance,0.9657500411658159,0.9725835666062901,-0.00683352544047423,-0.009986088643440298,-0.0041782473133318045,16,12031,99
selected_ego_progress,0.8834410906329737,0.8847152447198833,-0.0012741540869095026,-0.0042565084703444665,0.001476774878806874,4769,5957,1420
selected_time_to_collision_within_bound,0.9193973324551292,0.9420385312036884,-0.022641198748559195,-0.026779961844524688,-0.018742927372525753,25,11821,300
selected_comfort,0.9991766836818706,0.9998353367363741,-0.0006586530545035403,-0.0012366501168981038,-0.00017165798033497452,0,12138,8
selected_driving_direction_compliance,0.9711427630495636,0.9728717273176354,-0.0017289642680717932,-0.0029688804792303825,-0.0004732910431987713,45,12020,81
