token,log_name_sft,score_sft,log_name_rl,score_rl,delta
0034182453455593,2021.07.09.15.53.28_veh-38_00184_02293,0.9141431611979925,2021.07.09.15.53.28_veh-38_00184_02293,0.9278214580833759,0.013678296885383356
0063186407485185,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
00839bb43eed5f3e,2021.08.31.14.01.15_veh-40_01576_01714,0.9023879781549228,2021.08.31.14.01.15_veh-40_01576_01714,0.9147174150155907,0.012329436860667897
0090af8e15415a95,2021.06.09.12.06.35_veh-35_01164_01494,0.9185674036640434,2021.06.09.12.06.35_veh-35_01164_01494,0.9322715632131954,0.01370415954915194
00b3f7e6cbfc5fa0,2021.10.11.02.57.41_veh-50_02155_02265,0.896324471114006,2021.10.11.02.57.41_veh-50_02155_02265,0.9084201599142365,0.012095688800230486
00bf064b40495a06,2021.07.09.15.53.28_veh-38_00184_02293,0.9383697793908433,2021.07.09.15.53.28_veh-38_00184_02293,0.9518197090070603,0.013449929616216938
00e32fcdcf455ae8,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
015173513fc25684,2021.10.05.08.11.15_veh-50_00437_00585,0.9175406423541764,2021.10.05.08.11.15_veh-50_00437_00585,0.927948429896818,0.0104077875426416
016139f70ba255f4,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
017221a69d845d5f,2021.06.23.17.31.36_veh-16_00016_00377,0.9641240091706559,2021.06.23.17.31.36_veh-16_00016_00377,0.9759540284882812,0.011830019317625284
017f6ea65a675bd0,2021.07.09.15.53.28_veh-38_00184_02293,0.9782147833641001,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.02178521663589994
0191e3cbe7735d02,2021.10.11.02.57.41_veh-50_01028_01289,0.8867586000661145,2021.10.11.02.57.41_veh-50_01028_01289,0.9011573574482153,0.014398757382100835
0192df9f896c5030,2021.07.09.20.26.06_veh-35_02793_03289,1.0,2021.07.09.20.26.06_veh-35_02793_03289,1.0,0.0
019be72ca2035269,2021.07.09.15.53.28_veh-38_00184_02293,0.9447586158593886,2021.07.09.15.53.28_veh-38_00184_02293,0.9555891003790903,0.0108304845197017
01d99dddfff055b4,2021.06.09.12.06.35_veh-35_01164_01494,1.0,2021.06.09.12.06.35_veh-35_01164_01494,1.0,0.0
01f29c09064f597d,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
02036a881c8757cd,2021.06.09.12.06.35_veh-35_01164_01494,0.9372796847259846,2021.06.09.12.06.35_veh-35_01164_01494,0.9490487252617394,0.011769040535754893
02199704c082520f,2021.06.09.12.51.31_veh-35_01729_02626,1.0,2021.06.09.12.51.31_veh-35_01729_02626,1.0,0.0
02271efb56ca5e62,2021.07.09.15.53.28_veh-38_00184_02293,1.0,2021.07.09.15.53.28_veh-38_00184_02293,1.0,0.0
0228fd10f8c05bd4,2021.06.09.12.51.31_veh-35_01729_02626,0.9138347471960894,2021.06.09.12.51.31_veh-35_01729_02626,0.9422288214172739,0.028394074221184562
0242cf7ebae4537a,2021.07.09.15.53.28_veh-38_00184_02293,0.9750906878480171,2021.07.09.15.53.28_veh-38_00184_02293,0.9946487049325209,0.019558017084503776
0244b29e92175c74,2021.08.31.14.01.15_veh-40_01576_01714,0.8781630997823037,2021.08.31.14.01.15_veh-40_01576_01714,0.9027594218776435,0.024596322095339795
025b6096a0af5d87,2021.06.09.12.51.31_veh-35_01729_02626,0.9955211647926226,2021.06.09.12.51.31_veh-35_01729_02626,1.0,0.004478835207377352
0265d0c659745deb,2021.10.05.08.11.15_veh-50_00437_00585,0.9112579698225115,2021.10.05.08.11.15_veh-50_00437_00585,0.9245002959596443,0.013242326137132832
0266adddeefb584b,2021.07.09.20.26.06_veh-35_02793_03289,0.982005726008277,2021.07.09.20.26.06_veh-35_02793_03289,1.0,0.017994273991723042
027d63f008ba518b,2021.10.05.08.11.15_veh-50_00437_00585,0.9635957442252021,2021.10.05.08.11.15_veh-50_00437_00585,0.9728950178617136,0.009299273636511507
