gate,scene_token,candidate_index,evaluator_score,reassembled_score,absolute_error,driving_direction_compliance
G0-R,0fcede1cbfb15faa,29,0.3184828460216522,0.6369657106697559,0.3184828646481037,0.5
G0-R,0fcede1cbfb15faa,79,0.37300145626068115,0.7460029150048891,0.373001458744208,0.5
G0-R,0fcede1cbfb15faa,81,0.3138623535633087,0.6277246779451767,0.313862324381868,0.5
G0-R,0fcede1cbfb15faa,87,0.3703650236129761,0.7407300149401029,0.37036499132712686,0.5
G0-R,0fcede1cbfb15faa,102,0.3099346458911896,0.6198692638427019,0.30993461795151234,0.5
G0-R,0fcede1cbfb15faa,104,0.3315349221229553,0.6630698504547278,0.33153492833177245,0.5
G0-R,0fcede1cbfb15faa,172,0.3246382772922516,0.6492765533427397,0.3246382760504881,0.5
G0-R,0fcede1cbfb15faa,180,0.3407537341117859,0.6815074483553568,0.3407537142435709,0.5
G0-R,0fcede1cbfb15faa,204,0.336729496717453,0.6734589897096157,0.3367294929921627,0.5
G0-R,0fcede1cbfb15faa,216,0.38292399048805237,0.7658479710419973,0.38292398055394494,0.5
